Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population,Incident_Rate,Case_Fatality_Ratio
Alabama,United States,32.88428035358209,-86.71012237686567,515388,10554,0.0,0.0,4903185.0,10511.290110407826,2.0477775966844396
Alagoas,Brazil,-9.5713,-36.782,153490,3554,144928.0,5008.0,3337357.0,4599.148368004981,2.3154602905726756
Alaska,United States,60.36499229642857,-148.8858794392857,62625,313,0.0,559.0,731793.0,8557.747887722348,0.49980039920159686
Alberta,Canada,53.9333,-116.5765,148332,1990,137992.0,8350.0,4442879.0,3338.6459545713487,1.3415850928997115
Altai Krai,Russia,52.6932243,82.69314240000001,47137,1832,42198.0,3107.0,2350080.0,2005.7615059912853,3.8865434796444407
Altai Republic,Russia,50.7114101,86.8572186,16655,191,16268.0,196.0,218063.0,7637.701031353325,1.1468027619333532
Amapa,Brazil,0.902,-52.003,97542,1302,72132.0,24108.0,845731.0000000001,11533.454490848744,1.3348096204711817
Amazonas,Brazil,-3.4168,-65.8561,349123,12015,298476.0,38632.0,4144597.0,8423.569287918705,3.441480509734392
Amazonas,Colombia,-1.4429,-71.5724,5858,219,5595.0,44.0,76589.0,7648.617947747066,3.7384772960054624
Amazonas,Peru,-5.077253,-78.050172,23141,788,0.0,22353.0,426800.0,5421.977507029053,3.405211529320254
Amur Oblast,Russia,52.8032368,128.437295,21887,243,20674.0,970.0,798423.9999999999,2741.27531236536,1.1102480924749851
Ancash,Peru,-9.407125,-77.67179499999997,50871,4301,0.0,46570.0,1180600.0,4308.910723361003,8.454718798529615
Andalusia,Spain,37.5443,-4.7278,505796,9206,10671.0,485919.0,8427405.0,6001.800079621188,1.8201013847480012
Andaman and Nicobar Islands,India,11.225999,92.968178,5083,62,4976.0,45.0,417036.00000000006,1218.839620560335,1.21975211489278
Andhra Pradesh,India,15.9129,79.74,901989,7217,887434.0,7338.0,53903393.0,1673.3436427647516,0.8001206223135758
Anguilla,United Kingdom,18.2206,-63.0686,25,0,21.0,4.0,15002.0,166.64444740701242,0.0
Anhui,China,31.8257,117.2264,994,6,988.0,0.0,61027171.0,1.6287826941871515,0.6036217303822937
Antioquia,Colombia,7.1986,-75.3412,374623,7016,354364.0,13243.0,6407102.0,5846.996036585651,1.8728161378238923
Antofagasta,Chile,-23.6509,-70.3975,43243,867,41196.0,1180.0,607534.0,7117.790938449535,2.004948777836875
Aomori,Japan,40.781541,140.828896,1031,20,870.0,141.0,1246371.0,82.72015314862108,1.939864209505335
Apurimac,Peru,-14.027713,-72.975378,13616,768,0.0,12848.0,430700.0,3161.3652194102624,5.64042303172738
Aragon,Spain,41.5976,-0.9057,110894,3344,3772.0,103778.0,1320586.0,8397.332699271385,3.015492271899291
Arauca,Colombia,7.0762,-70.7105,5751,173,5450.0,128.0,262174.0,2193.5813619962314,3.008172491740567
Araucania,Chile,-38.9489,-72.3311,54915,671,51266.0,2978.0,957224.0,5736.90170743734,1.221888372939998
Arequipa,Peru,-15.843524,-72.475539,65386,5841,0.0,59545.0,1497400.0,4366.635501535996,8.933104946012909
Arica y Parinacota,Chile,-18.594,-69.4785,17399,350,16499.0,550.0,226068.0,7696.356848381903,2.0116098626357837
Arizona,United States,33.675903642,-111.46323212666667,841811,16967,0.0,0.0,7278717.000000001,11565.376150769427,2.015535553705048
Arkansas,United States,34.911889390266666,-92.4339782684,327607,5626,0.0,0.0,3017804.0,10855.807733040316,1.717301522861233
Arkhangelsk Oblast,Russia,63.5589686,43.1221646,59687,825,55265.0,3597.0,1155028.0,5167.580353030403,1.3822105316065476
Aruba,Netherlands,12.5211,-69.9683,9443,86,8684.0,673.0,106766.0,8844.575988610606,0.9107275230329344
Arunachal Pradesh,India,27.768456,96.384277,16845,56,16785.0,4.0,1570458.0,1072.6170327382204,0.3324428613831998
Assam,India,26.357149,92.830441,218412,1105,215445.0,1862.0,35607039.0,613.3955704657161,0.5059245828983755
